Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
AMZN,STEADY,1,100.0,0.0,100.0,0.0,0.0,-0.681,-0.68,0.0,,5.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
AVGO,TREND,5,100.0,100.0,0.0,80.0,2.238,-0.314,8.64,28.52,0.944,4.4,5,0,1.75,10.0,1.0,10.0,0.35,0.85,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,14.903,0.0,14.9,14903000000.0,,4.0,1,0,1.75,6.0,0.9,8.0,0.25,0.88,4
META,MEGA_GRINDER,1,100.0,100.0,0.0,100.0,2.396,0.0,2.4,2395600000.0,,4.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
NVDA,TREND,3,100.0,100.0,0.0,66.7,3.236,-0.344,6.13,18.79,0.966,5.0,3,0,1.75,10.0,1.0,10.0,0.35,0.85,5
MSFT,MEGA_GRINDER,1,100.0,100.0,0.0,100.0,0.279,0.0,0.28,279400000.0,,5.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
XOM,TREND,2,100.0,100.0,0.0,100.0,4.067,0.0,8.13,8133200000.0,6.135,5.0,2,0,1.75,10.0,1.0,10.0,0.35,0.85,5
GOOGL,TREND,3,66.7,66.7,0.0,66.7,7.843,-4.53,11.16,3.46,0.467,4.7,3,0,1.75,10.0,1.0,10.0,0.35,0.85,5
TSLA,TSLA_SOLO,5,60.0,60.0,0.0,80.0,4.777,-4.639,14.47,4.12,0.509,3.2,5,0,2.0,0.0,1.0,3.0,0.1,0.99,4
PLTR,EXPLOSIVE,7,57.1,57.1,0.0,57.1,2.226,-4.93,-5.89,0.6,-0.2,3.7,7,0,1.75,6.0,0.9,8.0,0.25,0.88,4
JPM,STEADY,2,50.0,50.0,0.0,50.0,4.404,-2.027,2.38,2.17,0.261,5.0,2,0,1.5,8.0,0.95,8.0,0.1,0.65,5
V,STEADY,2,50.0,50.0,0.0,50.0,3.513,-1.87,1.64,1.88,0.216,5.0,2,0,1.5,8.0,0.95,8.0,0.1,0.65,5
